,Fiat Mobi,Fiat Argo,Fiat Cronos,Fiat Toro,Volkswagen Gol,Volkswagen Polo,Volkswagen Virtus,Volkswagen T-Cross,Chevrolet Onix,Chevrolet Onix Plus,Chevrolet Tracker,Chevrolet S10,Hyundai HB20,Hyundai HB20S,Hyundai Creta,Toyota Corolla,Toyota Corolla Cross,Toyota Hilux,Honda Civic,Honda HR-V,Honda City,Nissan Kicks,Nissan Versa,Renault Kwid,Renault Sandero,Renault Duster,Jeep Renegade,Jeep Compass,Jeep Commander,Ford Ranger,Ford Territory,Peugeot 208,Peugeot 2008,Citroën C3,Citroën C4 Cactus,Caoa Chery Tiggo 5X,Caoa Chery Tiggo 7,BYD Dolphin,BYD Song Plus,GWM Haval H6,Mitsubishi L200,Mitsubishi Eclipse Cross,Suzuki Jimny,RAM Rampage,RAM 1500,BMW X1,BMW 320i,Audi A3,Audi Q3,Mercedes-Benz GLA
Usuario_69,2,4,3,0,2,2,1,5,2,3,4,5,3,5,5,3,5,1,4,0,4,4,4,2,5,5,5,5,5,0,5,5,4,5,5,5,5,3,4,5,4,4,5,1,1,4,1,4,5,4
Usuario_70,4,1,2,4,2,5,2,5,2,0,3,5,3,1,4,5,1,5,3,0,5,1,5,3,2,3,5,5,2,5,2,5,2,2,4,2,2,2,1,4,4,0,2,5,4,3,3,0,1,1
Usuario_71,2,1,0,5,4,3,0,0,1,4,0,0,5,4,0,3,5,3,5,4,2,5,1,0,5,4,4,4,5,0,4,5,5,0,4,4,4,3,5,0,2,4,4,2,5,5,5,2,5,0
Usuario_72,4,0,3,3,4,4,0,1,4,0,2,0,4,3,2,3,5,0,3,4,0,0,4,4,2,5,1,0,4,4,1,0,1,4,4,4,5,5,5,3,0,5,0,0,2,0,3,2,4,0
Usuario_73,1,0,2,5,5,5,0,3,0,0,3,3,0,3,2,1,2,4,0,5,4,0,0,1,2,5,2,0,2,0,4,0,0,4,4,3,4,1,0,5,4,5,0,1,4,4,3,1,4,3
Usuario_74,1,1,2,4,0,0,3,5,4,5,5,2,3,1,2,1,4,0,1,0,2,3,3,0,1,1,0,2,1,4,5,2,0,2,4,3,0,4,0,4,2,0,0,2,0,5,1,5,1,2
Usuario_75,5,2,4,4,5,3,0,5,0,4,1,0,5,0,2,2,0,3,3,5,0,1,2,0,2,5,5,5,0,5,2,4,4,5,5,4,5,2,4,2,1,0,5,5,1,3,1,2,2,1
Usuario_76,2,0,2,0,4,4,4,1,5,0,3,4,0,0,2,5,3,5,3,2,4,4,1,5,3,5,0,2,3,4,1,4,2,0,1,4,4,0,3,5,4,5,1,4,5,0,1,3,1,2
Usuario_77,2,4,3,0,1,5,3,3,0,3,3,4,3,5,4,3,0,4,3,3,0,2,2,4,2,5,3,2,5,5,2,0,0,4,5,0,5,3,3,2,5,3,5,0,5,2,0,4,2,3
Usuario_78,0,0,2,5,0,4,3,5,1,0,0,4,4,5,0,1,0,2,3,4,1,4,3,3,0,4,5,4,5,1,0,0,5,1,4,4,4,0,5,5,0,0,4,2,4,4,2,1,4,5
Usuario_79,1,5,2,4,3,5,1,0,1,2,4,5,5,0,0,5,4,0,5,2,1,4,1,1,0,1,1,3,0,5,0,1,0,2,1,5,5,4,0,5,0,1,3,4,4,1,0,3,1,3
Usuario_80,2,2,4,5,4,3,3,3,4,1,3,4,3,0,0,0,5,3,5,3,3,0,0,5,2,5,2,4,0,0,2,1,2,5,3,2,3,0,5,0,4,4,5,2,3,0,2,3,3,0
Usuario_81,3,0,4,2,4,1,1,2,0,1,3,4,1,3,4,3,2,5,2,4,4,0,0,0,1,2,1,4,0,0,2,2,3,4,5,5,3,2,5,4,1,5,5,0,0,5,1,1,3,3
Usuario_82,0,3,0,0,5,1,4,2,4,1,1,5,0,5,4,5,3,3,3,0,5,0,3,3,4,4,3,2,2,4,0,1,4,4,1,2,0,1,3,3,5,1,0,4,5,3,2,2,1,1
Usuario_83,5,5,0,0,5,1,0,5,0,5,5,0,4,3,4,4,4,2,5,5,3,0,1,4,5,4,5,5,4,0,0,3,4,5,4,5,0,3,5,4,3,5,4,0,5,5,2,0,5,0
Usuario_84,5,1,5,0,5,1,1,4,0,2,4,2,1,4,0,0,1,4,1,0,4,3,0,4,2,4,2,0,0,3,0,5,0,4,5,1,1,1,0,1,3,5,3,3,2,4,2,0,1,2
Usuario_85,5,4,2,3,5,0,5,4,0,3,1,2,5,1,0,0,3,5,0,1,3,0,1,5,1,3,2,5,1,5,1,1,0,5,1,4,5,5,5,3,2,5,0,1,0,1,4,0,4,3
Usuario_86,5,5,1,4,2,2,4,4,1,4,4,4,0,4,4,0,2,5,1,0,5,5,5,0,0,5,1,5,1,4,2,2,0,5,3,1,0,0,5,0,4,1,0,5,4,0,4,1,0,0
Usuario_87,5,0,3,4,2,3,1,3,0,5,4,5,1,1,4,0,1,4,4,1,3,3,0,3,3,5,1,4,5,5,1,3,1,4,3,4,1,1,0,5,4,1,1,5,4,3,4,0,3,2
Usuario_88,4,4,5,2,0,0,3,2,3,0,1,1,5,0,1,3,0,4,5,1,4,2,2,5,1,0,3,1,3,4,5,5,1,4,0,0,3,2,4,0,5,3,0,3,2,3,3,5,1,0
Usuario_89,4,0,2,0,1,3,1,4,5,1,0,1,1,4,4,5,4,2,1,4,2,5,0,2,0,0,4,5,0,0,5,5,0,1,5,4,4,1,4,5,2,4,5,5,0,5,5,1,0,4
Usuario_90,2,5,1,5,2,0,4,4,2,3,5,1,2,5,0,0,4,0,3,0,0,5,1,5,3,5,0,0,4,3,5,2,4,0,5,4,5,1,5,4,4,5,4,2,4,0,0,0,5,5
Usuario_91,3,1,2,4,3,1,4,0,4,1,4,5,3,5,5,0,2,4,4,4,4,5,5,2,2,1,1,3,0,2,1,2,5,3,2,0,3,0,4,0,1,5,0,0,1,4,2,3,3,2
Usuario_92,0,4,2,4,0,0,4,2,3,5,4,4,2,0,5,0,0,4,4,0,5,5,4,5,1,0,5,3,4,4,3,2,1,5,5,1,4,2,1,3,2,2,1,5,2,2,3,2,3,1
Usuario_93,4,4,3,2,5,2,5,4,5,4,5,0,0,3,4,5,3,4,5,3,1,0,2,5,1,2,0,1,1,4,0,0,2,0,4,2,5,3,5,5,1,4,2,2,5,4,4,1,2,1
Usuario_94,2,1,3,4,0,4,5,4,2,5,0,1,5,1,4,2,4,5,0,5,2,5,0,2,5,4,5,5,5,0,5,1,5,3,5,5,5,5,4,4,5,0,5,4,0,5,4,4,4,5
Usuario_95,1,2,3,4,0,2,0,1,5,2,0,0,1,0,5,2,5,5,0,4,3,3,4,4,3,5,4,5,3,5,4,5,0,2,2,1,3,0,3,5,5,3,4,5,0,5,4,1,5,3
Usuario_96,4,1,0,1,5,3,2,0,1,3,4,5,1,0,4,3,5,5,3,5,2,0,4,5,5,4,1,3,3,3,5,2,5,4,3,3,3,0,2,0,3,0,1,2,0,0,4,0,0,3
Usuario_97,1,2,0,5,4,5,5,0,0,4,1,4,0,3,5,2,5,5,4,4,0,3,2,3,2,1,0,5,3,5,2,0,0,1,1,1,1,2,3,1,5,1,4,4,4,0,3,2,0,2
Usuario_98,5,0,0,0,2,3,2,0,0,2,5,0,5,2,0,0,0,5,1,5,2,0,2,2,5,5,5,4,5,3,5,5,5,1,4,0,4,0,5,4,5,4,5,1,2,5,2,4,0,0
Usuario_99,2,4,5,5,0,4,0,5,4,3,5,1,5,2,4,1,4,4,3,0,0,5,5,0,5,5,5,5,4,4,0,3,5,2,5,4,5,0,4,0,0,0,4,5,5,4,5,2,5,4
Usuario_100,3,5,2,0,2,5,2,4,5,1,5,1,1,2,4,3,5,1,2,5,2,1,0,5,0,2,3,3,4,0,4,1,2,2,2,0,4,1,0,4,3,2,1,0,4,1,2,2,2,5
